Date_key,Date,Day_of_week,Year,Month,Day,Week,Weekend,season
0,2015-01-01,3,2015,1,1,1,0,1
1,2015-01-02,4,2015,1,2,1,0,1
2,2015-01-03,5,2015,1,3,1,0,1
3,2015-01-04,6,2015,1,4,1,1,1
4,2015-01-05,0,2015,1,5,2,1,1
5,2015-01-06,1,2015,1,6,2,0,1
6,2015-01-07,2,2015,1,7,2,0,1
7,2015-01-08,3,2015,1,8,2,0,1
8,2015-01-09,4,2015,1,9,2,0,1
9,2015-01-10,5,2015,1,10,2,0,1
10,2015-01-11,6,2015,1,11,2,1,1
11,2015-01-12,0,2015,1,12,3,1,1
12,2015-01-13,1,2015,1,13,3,0,1
13,2015-01-14,2,2015,1,14,3,0,1
14,2015-01-15,3,2015,1,15,3,0,1
15,2015-01-16,4,2015,1,16,3,0,1
16,2015-01-17,5,2015,1,17,3,0,1
17,2015-01-18,6,2015,1,18,3,1,1
18,2015-01-19,0,2015,1,19,4,1,1
19,2015-01-20,1,2015,1,20,4,0,1
20,2015-01-21,2,2015,1,21,4,0,1
21,2015-01-22,3,2015,1,22,4,0,1
22,2015-01-23,4,2015,1,23,4,0,1
23,2015-01-24,5,2015,1,24,4,0,1
24,2015-01-25,6,2015,1,25,4,1,1
25,2015-01-26,0,2015,1,26,5,1,1
26,2015-01-27,1,2015,1,27,5,0,1
27,2015-01-28,2,2015,1,28,5,0,1
28,2015-01-29,3,2015,1,29,5,0,1
29,2015-01-30,4,2015,1,30,5,0,1
30,2015-01-31,5,2015,1,31,5,0,1
31,2015-02-01,6,2015,2,1,5,1,1
32,2015-02-02,0,2015,2,2,6,1,1
33,2015-02-03,1,2015,2,3,6,0,1
34,2015-02-04,2,2015,2,4,6,0,1
35,2015-02-05,3,2015,2,5,6,0,1
36,2015-02-06,4,2015,2,6,6,0,1
37,2015-02-07,5,2015,2,7,6,0,1
38,2015-02-08,6,2015,2,8,6,1,1
39,2015-02-09,0,2015,2,9,7,1,1
40,2015-02-10,1,2015,2,10,7,0,1
41,2015-02-11,2,2015,2,11,7,0,1
42,2015-02-12,3,2015,2,12,7,0,1
43,2015-02-13,4,2015,2,13,7,0,1
44,2015-02-14,5,2015,2,14,7,0,1
45,2015-02-15,6,2015,2,15,7,1,1
46,2015-02-16,0,2015,2,16,8,1,1
47,2015-02-17,1,2015,2,17,8,0,1
48,2015-02-18,2,2015,2,18,8,0,1
49,2015-02-19,3,2015,2,19,8,0,1
50,2015-02-20,4,2015,2,20,8,0,1
51,2015-02-21,5,2015,2,21,8,0,1
52,2015-02-22,6,2015,2,22,8,1,1
53,2015-02-23,0,2015,2,23,9,1,1
54,2015-02-24,1,2015,2,24,9,0,1
55,2015-02-25,2,2015,2,25,9,0,1
56,2015-02-26,3,2015,2,26,9,0,1
57,2015-02-27,4,2015,2,27,9,0,1
58,2015-02-28,5,2015,2,28,9,0,1
59,2015-03-01,6,2015,3,1,9,1,2
60,2015-03-02,0,2015,3,2,10,1,2
61,2015-03-03,1,2015,3,3,10,0,2
62,2015-03-04,2,2015,3,4,10,0,2
63,2015-03-05,3,2015,3,5,10,0,2
64,2015-03-06,4,2015,3,6,10,0,2
65,2015-03-07,5,2015,3,7,10,0,2
66,2015-03-08,6,2015,3,8,10,1,2
67,2015-03-09,0,2015,3,9,11,1,2
