eventKey,name,isOffWork,type,outcome,startDate,endDate,startTime,endTime
0,Hockey,0,Sport,1,2014-10-08,2014-10-08,22:00:00,
1,Hockey,1,Sport,1,2014-10-11,2014-10-11,22:00:00,
2,Hockey,0,Sport,1,2014-10-17,2014-10-17,21:30:00,
3,Hockey,1,Sport,2,2014-10-18,2014-10-18,22:00:00,
4,Hockey,0,Sport,2,2014-10-21,2014-10-21,20:30:00,
5,Hockey,0,Sport,1,2014-10-23,2014-10-23,20:00:00,
6,Hockey,0,Sport,2,2014-10-24,2014-10-24,21:00:00,
7,Hockey,1,Sport,1,2014-10-26,2014-10-26,21:30:00,
8,Hockey,1,Sport,,2014-10-26,2014-10-26,22:00:00,
9,Hockey,0,Sport,1,2014-10-28,2014-10-28,22:00:00,
10,Hockey,0,Sport,1,2014-10-30,2014-10-30,22:00:00,
11,Hockey,1,Sport,1,2014-11-01,2014-11-01,22:00:00,
12,Hockey,1,Sport,2,2014-11-02,2014-11-02,21:30:00,
13,Hockey,1,Sport,,2014-11-02,2014-11-02,22:00:00,
14,Hockey,0,Sport,1,2014-11-04,2014-11-04,21:00:00,
15,Hockey,0,Sport,1,2014-11-06,2014-11-06,22:30:00,
16,Hockey,1,Sport,2,2014-11-08,2014-11-08,22:00:00,
17,Hockey,1,Sport,1,2014-11-09,2014-11-09,21:00:00,
18,Hockey,0,Sport,1,2014-11-11,2014-11-11,22:00:00,
19,Hockey,0,Sport,2,2014-11-14,2014-11-14,22:00:00,
20,Hockey,0,Sport,1,2014-11-19,2014-11-19,20:00:00,
21,Hockey,0,Sport,2,2014-11-20,2014-11-20,22:00:00,
22,Hockey,1,Sport,1,2014-11-23,2014-11-23,22:00:00,
23,Hockey,0,Sport,1,2014-11-25,2014-11-25,22:00:00,
24,Hockey,0,Sport,1,2014-11-28,2014-11-28,19:00:00,
25,Hockey,1,Sport,2,2014-11-30,2014-11-30,14:00:00,
26,Hockey,0,Sport,1,2014-12-02,2014-12-02,19:00:00,
27,Hockey,0,Sport,1,2014-12-04,2014-12-04,19:00:00,
28,Hockey,1,Sport,2,2014-12-06,2014-12-06,19:00:00,
29,Hockey,1,Sport,2,2014-12-07,2014-12-07,19:00:00,
30,Hockey,0,Sport,2,2014-12-09,2014-12-09,19:30:00,
31,Hockey,1,Sport,2,2014-12-13,2014-12-13,22:00:00,
32,Hockey,0,Sport,2,2014-12-17,2014-12-17,22:00:00,
33,Hockey,1,Sport,1,2014-12-20,2014-12-20,22:00:00,
34,Hockey,0,Sport,1,2014-12-22,2014-12-22,22:00:00,
35,Hockey,1,Sport,2,2014-12-28,2014-12-28,20:00:00,
36,Hockey,0,Sport,1,2014-12-30,2014-12-30,22:00:00,
37,Hockey,1,Sport,2,2015-01-01,2015-01-01,22:00:00,
38,New Year's Day,1,Public Holiday,,2015-01-01,2015-01-01,,
39,New Year's Day,1,Public Holiday,,2015-01-01,2015-01-01,,
40,Hockey,1,Sport,1,2015-01-03,2015-01-03,22:00:00,
